date,strategy_id,strategy_type,active_legs,pnl_booked
2024-04-22,20240422_NIFTY_2024-04-25 00:00:00_Bull Call Spread_22300.0_CE_1|22500.0_CE_-1,Bull Call Spread,22300.0-CE-50;22500.0-CE--50,0.0
2024-04-23,20240423_NIFTY_2024-04-25 00:00:00_Bull Call Spread_22300.0_CE_1|22500.0_CE_-1,Bull Call Spread,22300.0-CE-50;22500.0-CE--50,0.0
2024-04-24,20240424_NIFTY_2024-04-25 00:00:00_Bull Call Spread_22300.0_CE_1|22500.0_CE_-1,Bull Call Spread,22300.0-CE-50;22500.0-CE--50,0.0
2024-04-25,20240425_NIFTY_2024-04-25 00:00:00_Bull Call Spread_22300.0_CE_1|22500.0_CE_-1,Bull Call Spread,22300.0-CE-50;22500.0-CE--50,2327.5
2024-04-29,20240429_NIFTY_2024-05-02 00:00:00_Bear Put Spread_22450.0_PE_1|22650.0_PE_-1,Bear Put Spread,22450.0-PE-25;22650.0-PE--25,0.0
2024-04-30,20240430_NIFTY_2024-05-02 00:00:00_Iron Condor_22750.0_CE_-1|22950.0_CE_1|22450.0_PE_1|22650.0_PE_-1,Iron Condor,22750.0-CE--25;22950.0-CE-25;22450.0-PE-25;22650.0-PE--25,0.0
2024-05-01,20240501_NIFTY_2024-05-02 00:00:00_Iron Condor_22750.0_CE_-1|22950.0_CE_1|22450.0_PE_1|22650.0_PE_-1,Iron Condor,22750.0-CE--25;22950.0-CE-25;22450.0-PE-25;22650.0-PE--25,0.0
2024-05-02,20240502_NIFTY_2024-05-02 00:00:00_Iron Condor_22750.0_CE_-1|22950.0_CE_1|22450.0_PE_1|22650.0_PE_-1,Iron Condor,22750.0-CE--25;22950.0-CE-25;22450.0-PE-25;22650.0-PE--25,2948.75
2024-05-03,20240503_NIFTY_2024-05-09 00:00:00_Iron Condor_22600.0_CE_-1|22800.0_CE_1|22200.0_PE_1|22400.0_PE_-1,Iron Condor,22600.0-CE--25;22800.0-CE-25;22200.0-PE-25;22400.0-PE--25,0.0
2024-05-06,20240506_NIFTY_2024-05-09 00:00:00_Iron Condor_22600.0_CE_-1|22800.0_CE_1|22200.0_PE_1|22400.0_PE_-1,Iron Condor,22600.0-CE--25;22800.0-CE-25;22200.0-PE-25;22400.0-PE--25,321.25
2024-05-16,20240516_NIFTY_2024-05-16 00:00:00_Naked Call Buy_22400.0_CE_1,Naked Call Buy,22400.0-CE-25,30.0
2024-05-17,20240517_NIFTY_2024-05-30 00:00:00_Bull Call Spread_22450.0_CE_1|22800.0_CE_-1,Bull Call Spread,22450.0-CE-25;22800.0-CE--25,0.0
2024-05-20,20240520_NIFTY_2024-05-30 00:00:00_Bull Call Spread_22450.0_CE_1|22800.0_CE_-1,Bull Call Spread,22450.0-CE-25;22800.0-CE--25,0.0
2024-05-21,20240521_NIFTY_2024-05-30 00:00:00_Bull Call Spread_22450.0_CE_1|22800.0_CE_-1,Bull Call Spread,22450.0-CE-25;22800.0-CE--25,0.0
2024-05-22,20240522_NIFTY_2024-05-30 00:00:00_Bull Call Spread_22450.0_CE_1|22800.0_CE_-1,Bull Call Spread,22450.0-CE-25;22800.0-CE--25,0.0
2024-05-23,20240523_NIFTY_2024-05-30 00:00:00_Bull Call Spread_22450.0_CE_1|22800.0_CE_-1,Bull Call Spread,22450.0-CE-25;22800.0-CE--25,0.0
2024-05-24,20240524_NIFTY_2024-05-30 00:00:00_Bull Call Spread_22450.0_CE_1|22800.0_CE_-1,Bull Call Spread,22450.0-CE-25;22800.0-CE--25,0.0
2024-05-27,20240527_NIFTY_2024-05-30 00:00:00_Bull Call Spread_22450.0_CE_1|22800.0_CE_-1,Bull Call Spread,22450.0-CE-25;22800.0-CE--25,3496.25
2024-05-28,20240528_NIFTY_2024-05-30 00:00:00_Iron Condor_23200.0_CE_-1|23350.0_CE_1|22550.0_PE_1|22700.0_PE_-1,Iron Condor,23200.0-CE--25;23350.0-CE-25;22550.0-PE-25;22700.0-PE--25,0.0
2024-05-29,20240529_NIFTY_2024-05-30 00:00:00_Iron Condor_23200.0_CE_-1|23350.0_CE_1|22550.0_PE_1|22700.0_PE_-1,Iron Condor,23200.0-CE--25;23350.0-CE-25;22550.0-PE-25;22700.0-PE--25,497.5
2024-05-30,20240530_NIFTY_2024-05-30 00:00:00_Bear Put Spread_22550.0_PE_1|22700.0_PE_-1,Bear Put Spread,22550.0-PE-25;22700.0-PE--25,-2800.0
2024-06-03,20240603_NIFTY_2024-06-06 00:00:00_Naked Call Sell_24000.0_CE_-1,Naked Call Sell,24000.0-CE--25,0.0
2024-06-04,20240604_NIFTY_2024-06-06 00:00:00_Naked Call Sell_24000.0_CE_-1,Naked Call Sell,24000.0-CE--25,0.0
2024-06-05,20240605_NIFTY_2024-06-06 00:00:00_Naked Call Sell_24000.0_CE_-1,Naked Call Sell,24000.0-CE--25,1923.75
2024-06-10,20240610_NIFTY_2024-06-13 00:00:00_Strangle_23500.0_CE_-1|23200.0_PE_-1,Strangle,23500.0-CE--25;23200.0-PE--25,0.0
2024-06-11,20240611_NIFTY_2024-06-13 00:00:00_Strangle_23500.0_CE_-1|23200.0_PE_-1,Strangle,23500.0-CE--25;23200.0-PE--25,0.0
2024-06-12,20240612_NIFTY_2024-06-13 00:00:00_Strangle_23500.0_CE_-1|23200.0_PE_-1,Strangle,23500.0-CE--25;23200.0-PE--25,0.0
2024-06-13,20240613_NIFTY_2024-06-13 00:00:00_Strangle_23500.0_CE_-1|23200.0_PE_-1,Strangle,23500.0-CE--25;23200.0-PE--25,5060.0
2024-06-18,20240618_NIFTY_2024-06-20 00:00:00_Naked Put Sell_23450.0_PE_-1,Naked Put Sell,23450.0-PE--25,0.0
2024-06-19,20240619_NIFTY_2024-06-20 00:00:00_Strangle_23650.0_CE_-1|23450.0_PE_-1,Strangle,23650.0-CE--25;23450.0-PE--25,0.0
2024-06-20,20240620_NIFTY_2024-06-20 00:00:00_Strangle_23650.0_CE_-1|23450.0_PE_-1,Strangle,23650.0-CE--25;23450.0-PE--25,1406.25
2024-06-21,20240621_NIFTY_2024-06-27 00:00:00_Naked Call Sell_23600.0_CE_-1,Naked Call Sell,23600.0-CE--25,0.0
2024-06-24,20240624_NIFTY_2024-06-27 00:00:00_Strangle_23600.0_CE_-1|23350.0_PE_-1,Strangle,23600.0-CE--25;23350.0-PE--25,-351.25
2024-06-24,20240624_NIFTY_2024-06-27 00:00:00_Naked Call Sell_23650.0_CE_-1,Naked Call Sell,23650.0-CE--25,0.0
2024-06-25,20240625_NIFTY_2024-06-27 00:00:00_Strangle_23650.0_CE_-1|23350.0_PE_-1,Strangle,23650.0-CE--25;23350.0-PE--25,0.0
2024-06-25,20240625_NIFTY_2024-07-04 00:00:00_Naked Call Buy_23700.0_CE_1,Naked Call Buy,23700.0-CE-25,0.0
2024-06-26,20240626_NIFTY_2024-06-27 00:00:00_Strangle_23650.0_CE_-1|23350.0_PE_-1,Strangle,23650.0-CE--25;23350.0-PE--25,-1445.0
2024-06-26,20240626_NIFTY_2024-07-04 00:00:00_Naked Call Buy_23700.0_CE_1,Naked Call Buy,23700.0-CE-25,1872.5
2024-06-27,20240627_NIFTY_2024-06-27 00:00:00_Naked Put Sell_23350.0_PE_-1,Naked Put Sell,23350.0-PE--25,0.0
2024-06-28,20240628_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1,Strangle,24400.0-CE--25;23800.0-PE--25,0.0
2024-07-01,20240701_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1,Strangle,24400.0-CE--25;23800.0-PE--25,0.0
2024-07-02,20240702_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1,Strangle,24400.0-CE--25;23800.0-PE--25,0.0
2024-07-03,20240703_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1,Strangle,24400.0-CE--25;23800.0-PE--25,0.0
2024-07-04,20240704_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1,Strangle,24400.0-CE--25;23800.0-PE--25,1187.5
2024-07-05,20240705_NIFTY_2024-07-11 00:00:00_Naked Put Sell_24150.0_PE_-1,Naked Put Sell,24150.0-PE--25,0.0
2024-07-08,20240708_NIFTY_2024-07-11 00:00:00_Naked Put Sell_24150.0_PE_-1,Naked Put Sell,24150.0-PE--25,0.0
2024-07-09,20240709_NIFTY_2024-07-11 00:00:00_Strangle_24500.0_CE_-1|24150.0_PE_-1,Strangle,24500.0-CE--25;24150.0-PE--25,0.0
2024-07-10,20240710_NIFTY_2024-07-11 00:00:00_Strangle_24500.0_CE_-1|24150.0_PE_-1,Strangle,24500.0-CE--25;24150.0-PE--25,0.0
2024-07-11,20240711_NIFTY_2024-07-11 00:00:00_Strangle_24500.0_CE_-1|24150.0_PE_-1,Strangle,24500.0-CE--25;24150.0-PE--25,2006.25
2024-07-16,20240716_NIFTY_2024-07-18 00:00:00_Strangle_24800.0_CE_-1|24500.0_PE_-1,Strangle,24800.0-CE--25;24500.0-PE--25,0.0
2024-07-16,20240716_NIFTY_2024-07-18 00:00:00_Naked Put Sell_24700.0_PE_-1,Naked Put Sell,24700.0-PE--25,-48.75
2024-07-17,20240717_NIFTY_2024-07-18 00:00:00_Strangle_24800.0_CE_-1|24500.0_PE_-1,Strangle,24800.0-CE--25;24500.0-PE--25,0.0
2024-07-18,20240718_NIFTY_2024-07-18 00:00:00_Strangle_24800.0_CE_-1|24500.0_PE_-1,Strangle,24800.0-CE--25;24500.0-PE--25,1095.0
2024-07-22,20240722_NIFTY_2024-07-25 00:00:00_Naked Put Sell_24400.0_PE_-1,Naked Put Sell,24400.0-PE--25,0.0
2024-07-23,20240723_NIFTY_2024-07-25 00:00:00_Strangle_24600.0_CE_-1|24400.0_PE_-1,Strangle,24600.0-CE--25;24400.0-PE--25,0.0
2024-07-24,20240724_NIFTY_2024-07-25 00:00:00_Strangle_24600.0_CE_-1|24400.0_PE_-1,Strangle,24600.0-CE--25;24400.0-PE--25,2006.25
2024-07-26,20240726_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,0.0
2024-07-29,20240729_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,0.0
2024-07-30,20240730_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,0.0
2024-07-31,20240731_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,0.0
2024-08-01,20240801_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,1788.75
2024-08-05,20240805_NIFTY_2024-08-08 00:00:00_Naked Call Sell_24500.0_CE_-1,Naked Call Sell,24500.0-CE--25,0.0
2024-08-06,20240806_NIFTY_2024-08-08 00:00:00_Naked Call Sell_24500.0_CE_-1,Naked Call Sell,24500.0-CE--25,0.0
2024-08-07,20240807_NIFTY_2024-08-08 00:00:00_Strangle_24500.0_CE_-1|23900.0_PE_-1,Strangle,24500.0-CE--25;23900.0-PE--25,0.0
2024-08-08,20240808_NIFTY_2024-08-08 00:00:00_Strangle_24500.0_CE_-1|23900.0_PE_-1,Strangle,24500.0-CE--25;23900.0-PE--25,1532.5
2024-08-13,20240813_NIFTY_2024-08-14 00:00:00_Strangle_24500.0_CE_-1|24100.0_PE_-1,Strangle,24500.0-CE--25;24100.0-PE--25,0.0
2024-08-14,20240814_NIFTY_2024-08-14 00:00:00_Strangle_24500.0_CE_-1|24100.0_PE_-1,Strangle,24500.0-CE--25;24100.0-PE--25,1512.5
2024-08-19,20240819_NIFTY_2024-08-22 00:00:00_Strangle_24800.0_CE_-1|24400.0_PE_-1,Strangle,24800.0-CE--25;24400.0-PE--25,0.0
2024-08-20,20240820_NIFTY_2024-08-22 00:00:00_Strangle_24800.0_CE_-1|24400.0_PE_-1,Strangle,24800.0-CE--25;24400.0-PE--25,0.0
2024-08-21,20240821_NIFTY_2024-08-22 00:00:00_Strangle_24800.0_CE_-1|24400.0_PE_-1,Strangle,24800.0-CE--25;24400.0-PE--25,933.75
2024-08-23,20240823_NIFTY_2024-08-29 00:00:00_Strangle_25050.0_CE_-1|24650.0_PE_-1,Strangle,25050.0-CE--25;24650.0-PE--25,0.0
2024-08-26,20240826_NIFTY_2024-08-29 00:00:00_Strangle_25050.0_CE_-1|24650.0_PE_-1,Strangle,25050.0-CE--25;24650.0-PE--25,-1753.75
2024-08-26,20240826_NIFTY_2024-08-29 00:00:00_Naked Call Sell_25150.0_CE_-1,Naked Call Sell,25150.0-CE--25,0.0
2024-08-27,20240827_NIFTY_2024-08-29 00:00:00_Strangle_25150.0_CE_-1|24650.0_PE_-1,Strangle,25150.0-CE--25;24650.0-PE--25,0.0
2024-08-28,20240828_NIFTY_2024-08-29 00:00:00_Strangle_25150.0_CE_-1|24650.0_PE_-1,Strangle,25150.0-CE--25;24650.0-PE--25,0.0
2024-08-29,20240829_NIFTY_2024-08-29 00:00:00_Strangle_25150.0_CE_-1|24650.0_PE_-1,Strangle,25150.0-CE--25;24650.0-PE--25,1210.0
2024-09-02,20240902_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1,Strangle,25500.0-CE--25;25000.0-PE--25,0.0
2024-09-03,20240903_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1,Strangle,25500.0-CE--25;25000.0-PE--25,0.0
2024-09-04,20240904_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1,Strangle,25500.0-CE--25;25000.0-PE--25,0.0
2024-09-05,20240905_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1,Strangle,25500.0-CE--25;25000.0-PE--25,1253.75
2024-09-06,20240906_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-09-09,20240909_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-09-10,20240910_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-09-11,20240911_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Bull Put Spread_24600.0_PE_-1|25400.0_PE_1,Bull Put Spread,24600.0-PE--25;25400.0-PE-25,1293.75
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Call Sell_25200.0_CE_-1,Naked Call Sell,25200.0-CE--25,1076.25
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-16,20240916_NIFTY_2024-09-19 00:00:00_Strangle_25600.0_CE_-1|25100.0_PE_-1,Strangle,25600.0-CE--25;25100.0-PE--25,0.0
