symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date,underlying,expiry_year,expiry_month,expiry_day,strike,option_type,position_key,net_qty,entry_exit,matched_qty,matched_trade_ids
NIFTY24APR22300CE,,2024-04-22,NSE,FO,,buy,False,50,118.1,13983609139256942260,1100000064922631,2024-04-22 14:09:26,2024-04-25,NIFTY,2024.0,4.0,,22300.0,CE,NIFTY_2024-04-25_22300.0_CE,50,Entry,50,
NIFTY24APR22500CE,,2024-04-22,NSE,FO,,sell,False,50,39.15,11019464541833882250,1100000064923056,2024-04-22 14:09:26,2024-04-25,NIFTY,2024.0,4.0,,22500.0,CE,NIFTY_2024-04-25_22500.0_CE,-50,Entry,50,
NIFTY24APR22500CE,,2024-04-25,NSE,FO,,buy,False,50,34.5,15800452029221673354,1100000164314221,2024-04-25 13:32:58,2024-04-25,NIFTY,2024.0,4.0,,22500.0,CE,NIFTY_2024-04-25_22500.0_CE,50,Exit,50,11019464541833882250
NIFTY24APR22300CE,,2024-04-25,NSE,FO,,sell,False,50,160.0,17512134343013169565,1100000164438893,2024-04-25 13:33:42,2024-04-25,NIFTY,2024.0,4.0,,22300.0,CE,NIFTY_2024-04-25_22300.0_CE,-50,Exit,50,13983609139256942260
NIFTY2450222450PE,,2024-04-29,NSE,FO,,buy,False,25,39.55,3815120490227129490,2000000062680836,2024-04-29 14:24:37,2024-05-02,NIFTY,2024.0,5.0,2.0,22450.0,PE,NIFTY_2024-05-02_22450.0_PE,25,Entry,25,
NIFTY2450222650PE,,2024-04-29,NSE,FO,,sell,False,25,94.1,16529053180688465031,2000000062681950,2024-04-29 14:24:38,2024-05-02,NIFTY,2024.0,5.0,2.0,22650.0,PE,NIFTY_2024-05-02_22650.0_PE,-25,Entry,25,
NIFTY2450222750CE,,2024-04-30,NSE,FO,,sell,False,25,81.8,14421796852515107448,1100000032490978,2024-04-30 11:20:32,2024-05-02,NIFTY,2024.0,5.0,2.0,22750.0,CE,NIFTY_2024-05-02_22750.0_CE,-25,Entry,25,
NIFTY2450222950CE,,2024-04-30,NSE,FO,,buy,False,25,15.6,13840439589571245103,1100000032490029,2024-04-30 11:20:32,2024-05-02,NIFTY,2024.0,5.0,2.0,22950.0,CE,NIFTY_2024-05-02_22950.0_CE,25,Entry,25,
NIFTY2450222650PE,,2024-05-02,NSE,FO,,buy,False,25,2.75,13625920090857498421,2000000215600880,2024-05-02 15:19:01,2024-05-02,NIFTY,2024.0,5.0,2.0,22650.0,PE,NIFTY_2024-05-02_22650.0_PE,25,Exit,25,16529053180688465031
NIFTY2450222750CE,,2024-05-02,NSE,FO,,buy,False,25,0.15,277444638841446077,1100000209624823,2024-05-02 15:19:01,2024-05-02,NIFTY,2024.0,5.0,2.0,22750.0,CE,NIFTY_2024-05-02_22750.0_CE,25,Exit,25,14421796852515107448
NIFTY2450222950CE,,2024-05-02,NSE,FO,,sell,False,25,0.05,14378468434307564914,1100000209625062,2024-05-02 15:19:01,2024-05-02,NIFTY,2024.0,5.0,2.0,22950.0,CE,NIFTY_2024-05-02_22950.0_CE,-25,Exit,25,13840439589571245103
NIFTY2450222450PE,,2024-05-02,NSE,FO,,sell,False,25,0.05,16775155640974857364,2000000215601455,2024-05-02 15:19:02,2024-05-02,NIFTY,2024.0,5.0,2.0,22450.0,PE,NIFTY_2024-05-02_22450.0_PE,-25,Exit,25,3815120490227129490
NIFTY2450922400PE,,2024-05-03,NSE,FO,,sell,False,25,132.4,5681857934413834786,2000000108120647,2024-05-03 14:26:04,2024-05-09,NIFTY,2024.0,5.0,9.0,22400.0,PE,NIFTY_2024-05-09_22400.0_PE,-25,Entry,25,
NIFTY2450922200PE,,2024-05-03,NSE,FO,,buy,False,25,65.35,6446622136341051125,2000000108119829,2024-05-03 14:26:04,2024-05-09,NIFTY,2024.0,5.0,9.0,22200.0,PE,NIFTY_2024-05-09_22200.0_PE,25,Entry,25,
NIFTY2450922600CE,,2024-05-03,NSE,FO,,sell,False,25,98.55,667595372899770503,1000000103444990,2024-05-03 15:26:18,2024-05-09,NIFTY,2024.0,5.0,9.0,22600.0,CE,NIFTY_2024-05-09_22600.0_CE,-25,Entry,25,
NIFTY2450922800CE,,2024-05-03,NSE,FO,,buy,False,25,41.1,9929693084506369468,1000000103444601,2024-05-03 15:26:18,2024-05-09,NIFTY,2024.0,5.0,9.0,22800.0,CE,NIFTY_2024-05-09_22800.0_CE,25,Entry,25,
NIFTY2450922600CE,,2024-05-06,NSE,FO,,buy,False,25,106.0,2424682983366341969,1000000034115946,2024-05-06 10:44:44,2024-05-09,NIFTY,2024.0,5.0,9.0,22600.0,CE,NIFTY_2024-05-09_22600.0_CE,25,Exit,25,667595372899770503
NIFTY2450922800CE,,2024-05-06,NSE,FO,,sell,False,25,40.0,7114047630496568097,1000000034139933,2024-05-06 10:44:51,2024-05-09,NIFTY,2024.0,5.0,9.0,22800.0,CE,NIFTY_2024-05-09_22800.0_CE,-25,Exit,25,9929693084506369468
NIFTY2450922400PE,,2024-05-06,NSE,FO,,buy,False,25,78.15,13836215962560671039,2000000040398049,2024-05-06 10:45:31,2024-05-09,NIFTY,2024.0,5.0,9.0,22400.0,PE,NIFTY_2024-05-09_22400.0_PE,25,Exit,25,5681857934413834786
NIFTY2450922200PE,,2024-05-06,NSE,FO,,sell,False,25,32.5,3348055200809639560,2000000040421526,2024-05-06 10:45:36,2024-05-09,NIFTY,2024.0,5.0,9.0,22200.0,PE,NIFTY_2024-05-09_22200.0_PE,-25,Exit,25,6446622136341051125
NIFTY2451622400CE,,2024-05-16,NSE,FO,,buy,False,25,3.8,5715237310747025084,1000000281534211,2024-05-16 15:12:12,2024-05-16,NIFTY,2024.0,5.0,16.0,22400.0,CE,NIFTY_2024-05-16_22400.0_CE,25,Entry,25,
NIFTY2451622400CE,,2024-05-16,NSE,FO,,sell,False,25,5.0,6611198554900010355,1000000290851266,2024-05-16 15:26:30,2024-05-16,NIFTY,2024.0,5.0,16.0,22400.0,CE,NIFTY_2024-05-16_22400.0_CE,-25,Exit,25,5715237310747025084
NIFTY24MAY22450CE,,2024-05-17,NSE,FO,,buy,False,25,249.7,14242479667045342438,1200000059975816,2024-05-17 10:38:23,2024-05-30,NIFTY,2024.0,5.0,,22450.0,CE,NIFTY_2024-05-30_22450.0_CE,25,Entry,25,
NIFTY24MAY22800CE,,2024-05-17,NSE,FO,,sell,False,25,93.25,6166139139961420369,1200000059977935,2024-05-17 10:38:23,2024-05-30,NIFTY,2024.0,5.0,,22800.0,CE,NIFTY_2024-05-30_22800.0_CE,-25,Entry,25,
NIFTY24MAY22800CE,,2024-05-27,NSE,FO,,buy,False,25,282.15,2058824878156694506,1000000023134632,2024-05-27 09:57:25,2024-05-30,NIFTY,2024.0,5.0,,22800.0,CE,NIFTY_2024-05-30_22800.0_CE,25,Exit,25,6166139139961420369
NIFTY24MAY22450CE,,2024-05-27,NSE,FO,,sell,False,25,578.45,15122859685993310817,1000000023135232,2024-05-27 09:57:25,2024-05-30,NIFTY,2024.0,5.0,,22450.0,CE,NIFTY_2024-05-30_22450.0_CE,-25,Exit,25,14242479667045342438
NIFTY24MAY23350CE,,2024-05-28,NSE,FO,,buy,False,25,16.65,3711783551892648838,1100000036146109,2024-05-28 09:58:59,2024-05-30,NIFTY,2024.0,5.0,,23350.0,CE,NIFTY_2024-05-30_23350.0_CE,25,Entry,25,
NIFTY24MAY23200CE,,2024-05-28,NSE,FO,,sell,False,25,40.05,3013004097279485524,1000000039314439,2024-05-28 09:58:59,2024-05-30,NIFTY,2024.0,5.0,,23200.0,CE,NIFTY_2024-05-30_23200.0_CE,-25,Entry,25,
NIFTY24MAY22550PE,,2024-05-28,NSE,FO,,buy,False,25,24.35,14050546580225664826,2100000038194129,2024-05-28 09:58:59,2024-05-30,NIFTY,2024.0,5.0,,22550.0,PE,NIFTY_2024-05-30_22550.0_PE,25,Entry,25,
NIFTY24MAY22700PE,,2024-05-28,NSE,FO,,sell,False,25,44.25,8006989051996687511,2100000038195305,2024-05-28 09:58:59,2024-05-30,NIFTY,2024.0,5.0,,22700.0,PE,NIFTY_2024-05-30_22700.0_PE,-25,Entry,25,
NIFTY24MAY23200CE,,2024-05-29,NSE,FO,,buy,False,25,7.65,3624143929934138176,1000000031679404,2024-05-29 10:41:10,2024-05-30,NIFTY,2024.0,5.0,,23200.0,CE,NIFTY_2024-05-30_23200.0_CE,25,Exit,25,3013004097279485524
NIFTY24MAY23350CE,,2024-05-29,NSE,FO,,sell,False,25,4.15,9386198099142346266,1100000031542566,2024-05-29 10:41:10,2024-05-30,NIFTY,2024.0,5.0,,23350.0,CE,NIFTY_2024-05-30_23350.0_CE,-25,Exit,25,3711783551892648838
NIFTY24MAY22700PE,,2024-05-30,NSE,FO,,buy,False,25,157.8,11550473435257749465,2100000050742374,2024-05-30 10:03:49,2024-05-30,NIFTY,2024.0,5.0,,22700.0,PE,NIFTY_2024-05-30_22700.0_PE,25,Exit,25,8006989051996687511
NIFTY24MAY22550PE,,2024-05-30,NSE,FO,,sell,False,25,25.9,6670467908665608136,2100000148273388,2024-05-30 12:48:47,2024-05-30,NIFTY,2024.0,5.0,,22550.0,PE,NIFTY_2024-05-30_22550.0_PE,-25,Exit,25,14050546580225664826
NIFTY2460624000CE,,2024-06-03,NSE,FO,,sell,False,25,78.95,188165688744496638,1000000083489390,2024-06-03 12:22:59,2024-06-06,NIFTY,2024.0,6.0,6.0,24000.0,CE,NIFTY_2024-06-06_24000.0_CE,-25,Entry,25,
NIFTY2460624000CE,,2024-06-05,NSE,FO,,buy,False,25,2.0,9844499701697421866,1000000081471851,2024-06-05 11:03:57,2024-06-06,NIFTY,2024.0,6.0,6.0,24000.0,CE,NIFTY_2024-06-06_24000.0_CE,25,Exit,25,188165688744496638
NIFTY2461323200PE,,2024-06-10,NSE,FO,,sell,False,25,111.15,16789902630811285356,2000000135422635,2024-06-10 14:10:02,2024-06-13,NIFTY,2024.0,6.0,13.0,23200.0,PE,NIFTY_2024-06-13_23200.0_PE,-25,Entry,25,
NIFTY2461323500CE,,2024-06-10,NSE,FO,,sell,False,25,102.6,15630203687879543618,1100000135394006,2024-06-10 14:10:02,2024-06-13,NIFTY,2024.0,6.0,13.0,23500.0,CE,NIFTY_2024-06-13_23500.0_CE,-25,Entry,25,
NIFTY2461323200PE,,2024-06-13,NSE,FO,,buy,False,25,3.65,9489204039635570325,2000000110335244,2024-06-13 11:50:39,2024-06-13,NIFTY,2024.0,6.0,13.0,23200.0,PE,NIFTY_2024-06-13_23200.0_PE,25,Exit,25,16789902630811285356
NIFTY2461323500CE,,2024-06-13,NSE,FO,,buy,False,25,7.7,507286418868254145,1100000108640449,2024-06-13 11:50:39,2024-06-13,NIFTY,2024.0,6.0,13.0,23500.0,CE,NIFTY_2024-06-13_23500.0_CE,25,Exit,25,15630203687879543618
NIFTY2462023450PE,,2024-06-18,NSE,FO,,sell,False,25,48.35,15064347713623566280,2000000048728552,2024-06-18 10:17:51,2024-06-20,NIFTY,2024.0,6.0,20.0,23450.0,PE,NIFTY_2024-06-20_23450.0_PE,-25,Entry,25,
NIFTY2462023650CE,,2024-06-19,NSE,FO,,sell,False,25,21.55,1487545479262186729,1000000047235771,2024-06-19 10:45:22,2024-06-20,NIFTY,2024.0,6.0,20.0,23650.0,CE,NIFTY_2024-06-20_23650.0_CE,-25,Entry,25,
NIFTY2462023650CE,,2024-06-20,NSE,FO,,buy,False,25,8.3,12600924007593060500,1000000181547307,2024-06-20 13:11:21,2024-06-20,NIFTY,2024.0,6.0,20.0,23650.0,CE,NIFTY_2024-06-20_23650.0_CE,25,Exit,25,1487545479262186729
NIFTY2462023450PE,,2024-06-20,NSE,FO,,buy,False,25,5.35,4154884646343854496,2000000173344497,2024-06-20 13:11:21,2024-06-20,NIFTY,2024.0,6.0,20.0,23450.0,PE,NIFTY_2024-06-20_23450.0_PE,25,Exit,25,15064347713623566280
NIFTY24JUN23600CE,,2024-06-21,NSE,FO,,sell,False,25,74.75,10410383667305764548,1000000135162556,2024-06-21 14:26:24,2024-06-27,NIFTY,2024.0,6.0,,23600.0,CE,NIFTY_2024-06-27_23600.0_CE,-25,Entry,25,
NIFTY24JUN23600CE,,2024-06-24,NSE,FO,,buy,False,25,88.8,12356047473609762245,1000000173673422,2024-06-24 15:22:27,2024-06-27,NIFTY,2024.0,6.0,,23600.0,CE,NIFTY_2024-06-27_23600.0_CE,25,Exit,25,10410383667305764548
NIFTY24JUN23350PE,,2024-06-24,NSE,FO,,sell,False,25,49.55,14059897754396298279,2100000154720176,2024-06-24 15:27:05,2024-06-27,NIFTY,2024.0,6.0,,23350.0,PE,NIFTY_2024-06-27_23350.0_PE,-25,Entry,25,
NIFTY24JUN23650CE,,2024-06-24,NSE,FO,,sell,False,25,70.6,17768372479154792454,1000000174718794,2024-06-24 15:27:06,2024-06-27,NIFTY,2024.0,6.0,,23650.0,CE,NIFTY_2024-06-27_23650.0_CE,-25,Entry,25,
NIFTY2470423700CE,,2024-06-25,NSE,FO,,buy,False,25,227.9,2232424605153922693,1200000049096850,2024-06-25 15:18:13,2024-07-04,NIFTY,2024.0,7.0,4.0,23700.0,CE,NIFTY_2024-07-04_23700.0_CE,25,Entry,25,
NIFTY24JUN23650CE,,2024-06-26,NSE,FO,,buy,False,25,128.4,11919759130112959767,1000000032571890,2024-06-26 10:17:11,2024-06-27,NIFTY,2024.0,6.0,,23650.0,CE,NIFTY_2024-06-27_23650.0_CE,25,Exit,25,17768372479154792454
NIFTY2470423700CE,,2024-06-26,NSE,FO,,sell,False,25,302.8,8918437264325290942,1200000039654875,2024-06-26 12:55:33,2024-07-04,NIFTY,2024.0,7.0,4.0,23700.0,CE,NIFTY_2024-07-04_23700.0_CE,-25,Exit,25,2232424605153922693
NIFTY2470423800PE,,2024-06-28,NSE,FO,,sell,False,25,51.35,17885686931864219103,2000000040335443,2024-06-28 10:40:08,2024-07-04,NIFTY,2024.0,7.0,4.0,23800.0,PE,NIFTY_2024-07-04_23800.0_PE,-25,Entry,25,
NIFTY2470424400CE,,2024-06-28,NSE,FO,,sell,False,25,45.95,1165527877018586405,1000000152452341,2024-06-28 14:52:17,2024-07-04,NIFTY,2024.0,7.0,4.0,24400.0,CE,NIFTY_2024-07-04_24400.0_CE,-25,Entry,25,
NIFTY2470423800PE,,2024-07-04,NSE,FO,,buy,False,25,0.8,9627788169593129131,2000000029298267,2024-07-04 09:51:48,2024-07-04,NIFTY,2024.0,7.0,4.0,23800.0,PE,NIFTY_2024-07-04_23800.0_PE,25,Exit,25,17885686931864219103
NIFTY2470424400CE,,2024-07-04,NSE,FO,,buy,False,25,49.0,10914329211161344840,1000000033778295,2024-07-04 09:51:48,2024-07-04,NIFTY,2024.0,7.0,4.0,24400.0,CE,NIFTY_2024-07-04_24400.0_CE,25,Exit,25,1165527877018586405
NIFTY2471124150PE,,2024-07-05,NSE,FO,,sell,False,25,51.75,17694203247777941109,2100000122783042,2024-07-05 15:24:20,2024-07-11,NIFTY,2024.0,7.0,11.0,24150.0,PE,NIFTY_2024-07-11_24150.0_PE,-25,Entry,25,
NIFTY2471124500CE,,2024-07-09,NSE,FO,,sell,False,25,41.0,14903071708928318586,1100000051227688,2024-07-09 10:28:13,2024-07-11,NIFTY,2024.0,7.0,11.0,24500.0,CE,NIFTY_2024-07-11_24500.0_CE,-25,Entry,25,
NIFTY2471124500CE,,2024-07-11,NSE,FO,,buy,False,25,4.8,13893963055654491831,1100000024922863,2024-07-11 09:39:40,2024-07-11,NIFTY,2024.0,7.0,11.0,24500.0,CE,NIFTY_2024-07-11_24500.0_CE,25,Exit,25,14903071708928318586
NIFTY2471124150PE,,2024-07-11,NSE,FO,,buy,False,25,7.7,16620652929945694214,2100000027453972,2024-07-11 09:39:40,2024-07-11,NIFTY,2024.0,7.0,11.0,24150.0,PE,NIFTY_2024-07-11_24150.0_PE,25,Exit,25,17694203247777941109
NIFTY2471824700PE,,2024-07-16,NSE,FO,,sell,False,25,102.4,17378257784690103283,2100000085678193,2024-07-16 12:28:55,2024-07-18,NIFTY,2024.0,7.0,18.0,24700.0,PE,NIFTY_2024-07-18_24700.0_PE,-25,Entry,25,
NIFTY2471824700PE,,2024-07-16,NSE,FO,,buy,False,25,104.35,16443268602880440835,2100000086404198,2024-07-16 12:31:52,2024-07-18,NIFTY,2024.0,7.0,18.0,24700.0,PE,NIFTY_2024-07-18_24700.0_PE,25,Exit,25,17378257784690103283
NIFTY2471824800CE,,2024-07-16,NSE,FO,,sell,False,25,19.3,466822073182733328,1000000089836953,2024-07-16 12:34:55,2024-07-18,NIFTY,2024.0,7.0,18.0,24800.0,CE,NIFTY_2024-07-18_24800.0_CE,-25,Entry,25,
NIFTY2471824500PE,,2024-07-16,NSE,FO,,sell,False,25,32.1,6050634133153060116,2100000087264931,2024-07-16 12:35:22,2024-07-18,NIFTY,2024.0,7.0,18.0,24500.0,PE,NIFTY_2024-07-18_24500.0_PE,-25,Entry,25,
NIFTY2471824800CE,,2024-07-18,NSE,FO,,buy,False,25,7.0,15641299766141757076,1000000041742752,2024-07-18 09:56:07,2024-07-18,NIFTY,2024.0,7.0,18.0,24800.0,CE,NIFTY_2024-07-18_24800.0_CE,25,Exit,25,466822073182733328
NIFTY2471824500PE,,2024-07-18,NSE,FO,,buy,False,25,0.6,17394109445240595557,2100000263735491,2024-07-18 14:55:50,2024-07-18,NIFTY,2024.0,7.0,18.0,24500.0,PE,NIFTY_2024-07-18_24500.0_PE,25,Exit,25,6050634133153060116
NIFTY24JUL24400PE,,2024-07-22,NSE,FO,,sell,False,25,143.0,18037636685722172544,2000000047814244,2024-07-22 10:52:38,2024-07-25,NIFTY,2024.0,7.0,,24400.0,PE,NIFTY_2024-07-25_24400.0_PE,-25,Entry,25,
NIFTY24JUL24600CE,,2024-07-23,NSE,FO,,sell,False,25,39.75,4642394510589360142,1000000326324208,2024-07-23 13:47:03,2024-07-25,NIFTY,2024.0,7.0,,24600.0,CE,NIFTY_2024-07-25_24600.0_CE,-25,Entry,25,
NIFTY24JUL24400PE,,2024-07-24,NSE,FO,,buy,False,25,90.15,6984264774102575043,2000000221674493,2024-07-24 15:07:00,2024-07-25,NIFTY,2024.0,7.0,,24400.0,PE,NIFTY_2024-07-25_24400.0_PE,25,Exit,25,18037636685722172544
NIFTY24JUL24600CE,,2024-07-24,NSE,FO,,buy,False,25,12.35,15401624836272865243,1000000212964167,2024-07-24 15:07:29,2024-07-25,NIFTY,2024.0,7.0,,24600.0,CE,NIFTY_2024-07-25_24600.0_CE,25,Exit,25,4642394510589360142
NIFTY2480124400PE,,2024-07-26,NSE,FO,,sell,False,25,47.55,6941631741227733214,2000000058901306,2024-07-26 12:19:56,2024-08-01,NIFTY,2024.0,8.0,1.0,24400.0,PE,NIFTY_2024-08-01_24400.0_PE,-25,Entry,25,
NIFTY2480125150CE,,2024-07-26,NSE,FO,,sell,False,25,29.2,16085122195132632572,1100000167585021,2024-07-26 15:23:04,2024-08-01,NIFTY,2024.0,8.0,1.0,25150.0,CE,NIFTY_2024-08-01_25150.0_CE,-25,Entry,25,
NIFTY2480124400PE,,2024-08-01,NSE,FO,,buy,False,25,0.65,3124633473852751302,2000000084432420,2024-08-01 11:00:31,2024-08-01,NIFTY,2024.0,8.0,1.0,24400.0,PE,NIFTY_2024-08-01_24400.0_PE,25,Exit,25,6941631741227733214
NIFTY2480125150CE,,2024-08-01,NSE,FO,,buy,False,25,4.55,10514066348266525585,1100000075017428,2024-08-01 11:00:37,2024-08-01,NIFTY,2024.0,8.0,1.0,25150.0,CE,NIFTY_2024-08-01_25150.0_CE,25,Exit,25,16085122195132632572
NIFTY2480824500CE,,2024-08-05,NSE,FO,,sell,False,25,44.6,2002894762842093110,1100000209923608,2024-08-05 15:01:17,2024-08-08,NIFTY,2024.0,8.0,8.0,24500.0,CE,NIFTY_2024-08-08_24500.0_CE,-25,Entry,25,
NIFTY2480823900PE,,2024-08-07,NSE,FO,,sell,False,25,17.4,7576533850623790635,2100000063784189,2024-08-07 10:50:44,2024-08-08,NIFTY,2024.0,8.0,8.0,23900.0,PE,NIFTY_2024-08-08_23900.0_PE,-25,Entry,25,
NIFTY2480823900PE,,2024-08-08,NSE,FO,,buy,False,25,0.35,10275401702841273030,2100000403224760,2024-08-08 14:45:57,2024-08-08,NIFTY,2024.0,8.0,8.0,23900.0,PE,NIFTY_2024-08-08_23900.0_PE,25,Exit,25,7576533850623790635
NIFTY2480824500CE,,2024-08-08,NSE,FO,,buy,False,25,0.35,16794291825405146609,1100000359666725,2024-08-08 14:46:03,2024-08-08,NIFTY,2024.0,8.0,8.0,24500.0,CE,NIFTY_2024-08-08_24500.0_CE,25,Exit,25,2002894762842093110
